weather,temperature,precipitation
nan,nan,nan
cloudy,42,0.00050
cloudy,42,0.00040
cloudy,42,0.0036
clear-night,36,0
clear-day,44,0
partly-cloudy-night,41,0
cloudy,39,0
partly-cloudy-night,36,0
partly-cloudy-day,76,0.0087
clear-night,73,0
clear-night,35,0
partly-cloudy-day,73,0
partly-cloudy-day,48,0
cloudy,32,0.0037
cloudy,57,0
clear-day,41,0
partly-cloudy-day,81,0
partly-cloudy-night,42,0
clear-day,44,0
partly-cloudy-day,87,0
partly-cloudy-night,67,0
cloudy,35,0.0017
cloudy,52,0
clear-day,45,0
cloudy,60,0
partly-cloudy-day,83,0
partly-cloudy-day,65,0.0037
partly-cloudy-day,83,0
clear-night,25,0
partly-cloudy-night,33,0
partly-cloudy-day,37,0
partly-cloudy-night,73,0
cloudy,61,0
partly-cloudy-day,44,0
clear-night,37,0
clear-night,76,0
partly-cloudy-day,46,0
cloudy,73,0
clear-night,62,0
clear-night,34,0
partly-cloudy-night,73,0
clear-day,40,0
clear-day,45,0
partly-cloudy-night,47,0
partly-cloudy-night,63,0
partly-cloudy-night,74,0
clear-day,61,0
clear-night,33,0
clear-day,51,0
partly-cloudy-day,83,0
partly-cloudy-night,70,0
clear-night,30,0
clear-night,29,0
clear-day,76,0
partly-cloudy-night,73,0
partly-cloudy-night,68,0
partly-cloudy-day,86,0
partly-cloudy-night,51,0
partly-cloudy-night,64,0
cloudy,75,0.008
cloudy,72,0
fog,29,0.0246
partly-cloudy-day,84,0
partly-cloudy-night,37,0
cloudy,61,0
rain,34,0.0048
clear-night,26,0
clear-night,72,0
clear-day,53,0
cloudy,26,0
partly-cloudy-day,90,0
partly-cloudy-night,40,0
partly-cloudy-night,53,0
partly-cloudy-night,78,0
cloudy,54,0
clear-night,37,0
clear-day,34,0
partly-cloudy-day,40,0.00020
clear-day,64,0
clear-night,51,0
clear-night,48,0
partly-cloudy-day,83,0
cloudy,58,0
rain,73,0.047
cloudy,77,0
partly-cloudy-day,74,0
partly-cloudy-day,20,0
partly-cloudy-night,73,0
partly-cloudy-night,69,0
cloudy,77,0
partly-cloudy-day,68,0
rain,42,0.0308
cloudy,54,0
partly-cloudy-day,56,0
cloudy,54,0
partly-cloudy-night,86,0
partly-cloudy-night,77,0
clear-day,58,0
rain,38,0.0347
rain,43,0.1058
partly-cloudy-day,80,0
clear-day,47,0
clear-night,73,0
cloudy,47,0.00050
clear-night,32,0
partly-cloudy-night,64,0
rain,51,0.0028
partly-cloudy-day,81,0
partly-cloudy-night,38,0
clear-day,77,0
cloudy,55,0.0042
clear-night,26,0
partly-cloudy-day,38,0
clear-day,36,0
partly-cloudy-night,68,0
partly-cloudy-day,88,0
clear-night,68,0
clear-night,48,0
cloudy,36,0
partly-cloudy-day,56,0
partly-cloudy-day,80,0
partly-cloudy-night,45,0
cloudy,67,0
partly-cloudy-day,69,0
clear-day,75,0
cloudy,54,0
partly-cloudy-day,40,0
cloudy,67,0
cloudy,64,0
clear-day,84,0
partly-cloudy-night,14,0
cloudy,67,0
clear-day,64,0
partly-cloudy-night,21,0
partly-cloudy-day,76,0
partly-cloudy-night,47,0
clear-day,30,0
partly-cloudy-day,75,0.0042
partly-cloudy-night,80,0
cloudy,73,0
partly-cloudy-night,42,0
partly-cloudy-night,67,0
clear-night,46,0
clear-night,69,0
cloudy,44,0.0023
clear-night,46,0
partly-cloudy-night,37,0
partly-cloudy-night,33,0
cloudy,46,0
partly-cloudy-night,57,0
rain,47,0.0346
clear-day,39,0
partly-cloudy-night,37,0
partly-cloudy-day,81,0
clear-night,65,0
clear-day,68,0
cloudy,42,0.0067
partly-cloudy-day,64,0
partly-cloudy-day,86,0
partly-cloudy-day,49,0
partly-cloudy-night,62,0
clear-night,57,0
clear-night,27,0
clear-night,27,0
partly-cloudy-day,78,0
rain,36,0.0191
clear-day,22,0
clear-night,38,0
clear-night,58,0
rain,75,0.0049
clear-night,61,0
clear-night,31,0
clear-day,73,0
partly-cloudy-night,48,0
clear-day,72,0
partly-cloudy-day,26,0
cloudy,44,0
cloudy,39,0
cloudy,44,0
cloudy,58,0
partly-cloudy-day,65,0
partly-cloudy-night,79,0
partly-cloudy-day,65,0
partly-cloudy-night,45,0
cloudy,69,0.0041
partly-cloudy-day,76,0
clear-night,67,0
rain,51,0.0124
partly-cloudy-day,74,0
partly-cloudy-day,73,0
partly-cloudy-night,58,0.00040
clear-night,60,0
clear-day,28,0
clear-night,36,0
partly-cloudy-night,36,0.0014
partly-cloudy-night,63,0
partly-cloudy-day,71,0
cloudy,48,0
partly-cloudy-day,59,0
partly-cloudy-day,69,0
sleet,32,0.0089
clear-night,40,0
clear-night,24,0
clear-day,57,0
rain,38,0.076
snow,32,0.0267
clear-day,59,0
clear-night,74,0
cloudy,63,0
partly-cloudy-day,74,0
partly-cloudy-night,69,0
partly-cloudy-day,71,0
clear-night,69,0
cloudy,56,0
clear-night,32,0
cloudy,55,0
cloudy,75,0
partly-cloudy-night,67,0
clear-day,80,0
clear-night,26,0
cloudy,64,0
rain,46,0.1363
cloudy,63,0
clear-night,53,0
clear-night,45,0
cloudy,60,0
cloudy,46,0
clear-night,25,0
cloudy,69,0
partly-cloudy-day,73,0
rain,33,0.006
rain,53,0.0805
clear-night,74,0
partly-cloudy-night,67,0
cloudy,45,0
clear-night,59,0
partly-cloudy-night,22,0
clear-day,19,0
cloudy,65,0
cloudy,51,0.0034
partly-cloudy-day,88,0
partly-cloudy-day,77,0
clear-night,80,0
partly-cloudy-day,56,0
rain,70,0.0158
clear-night,27,0
rain,71,0.014
partly-cloudy-night,42,0
clear-day,44,0
clear-night,47,0
partly-cloudy-day,76,0
cloudy,38,0
clear-night,65,0
clear-day,42,0
partly-cloudy-day,87,0
partly-cloudy-night,35,0
clear-night,74,0
partly-cloudy-day,80,0
clear-day,88,0
clear-day,45,0
partly-cloudy-day,34,0.00040
clear-night,38,0
partly-cloudy-day,25,0
rain,41,0.0198
clear-day,58,0
partly-cloudy-night,25,0
partly-cloudy-day,71,0
clear-day,41,0
clear-night,36,0
cloudy,44,0
partly-cloudy-night,35,0
partly-cloudy-night,12,0
clear-day,82,0
clear-day,35,0
cloudy,64,0
clear-day,58,0
cloudy,48,0
clear-night,33,0
clear-day,63,0
clear-night,30,0
partly-cloudy-night,72,0
clear-day,49,0
cloudy,72,0
clear-day,64,0
partly-cloudy-night,62,0
clear-day,80,0
clear-day,33,0
partly-cloudy-night,68,0
cloudy,70,0
clear-night,50,0
rain,48,0.0551
cloudy,31,0
partly-cloudy-day,34,0
clear-day,40,0
partly-cloudy-night,34,0
clear-day,78,0
partly-cloudy-night,70,0
clear-day,65,0
clear-day,83,0
clear-day,51,0
cloudy,59,0
rain,33,0.0117
cloudy,30,0
rain,68,0.002
partly-cloudy-day,52,0
cloudy,75,0
clear-day,82,0
clear-night,27,0
cloudy,68,0
clear-day,51,0
rain,35,0.0255
clear-night,47,0
