pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
3,3,0,2019-04-30,nan,nan
10,9,1,2019-12-31,cloudy,nan
2,0,2,2019-12-31,cloudy,nan
12,0,12,2019-12-31,cloudy,nan
1,0,1,2019-04-01,clear-night,nan
3171,1685,1486,2019-12-25,clear-day,Christmas Day
13,5,8,2019-01-27,partly-cloudy-night,nan
0,0,0,2019-02-07,cloudy,nan
9,7,2,2019-01-03,partly-cloudy-night,nan
520,281,239,2019-08-13,partly-cloudy-day,nan
2,1,1,2019-08-31,clear-night,nan
125,66,59,2019-11-04,clear-night,nan
2627,1142,1485,2019-08-24,partly-cloudy-day,nan
1601,730,871,2019-04-02,partly-cloudy-day,nan
22,21,1,2019-12-02,cloudy,nan
36,15,21,2019-05-06,cloudy,nan
2708,1447,1261,2019-12-22,clear-day,nan
2270,1020,1250,2019-08-15,partly-cloudy-day,nan
3,1,2,2019-02-25,partly-cloudy-night,nan
1151,666,485,2019-03-11,clear-day,nan
1557,707,850,2019-08-18,partly-cloudy-day,nan
79,65,14,2019-08-25,partly-cloudy-night,nan
0,0,0,2019-02-13,cloudy,nan
1805,754,1051,2019-04-28,cloudy,nan
442,188,254,2019-11-01,clear-day,nan
2826,1425,1401,2019-04-20,cloudy,nan
1554,637,917,2019-09-11,partly-cloudy-day,nan
610,386,224,2019-06-11,partly-cloudy-day,nan
1773,894,879,2019-06-24,partly-cloudy-day,nan
0,0,0,2019-03-08,clear-night,nan
0,0,0,2019-12-26,partly-cloudy-night,nan
1532,726,806,2019-03-04,partly-cloudy-day,nan
4,2,2,2019-06-25,partly-cloudy-night,nan
0,0,0,2019-04-13,cloudy,nan
1120,449,671,2019-02-03,partly-cloudy-day,nan
0,0,0,2019-11-04,clear-night,nan
8,4,4,2019-07-10,clear-night,nan
1080,463,617,2019-11-20,partly-cloudy-day,nan
186,83,103,2019-07-05,cloudy,nan
0,0,0,2019-06-15,clear-night,nan
199,70,129,2019-03-20,clear-night,nan
23,14,9,2019-08-14,partly-cloudy-night,nan
741,409,332,2019-02-25,clear-day,nan
1394,609,785,2019-03-13,clear-day,nan
58,36,22,2019-03-29,partly-cloudy-night,nan
41,38,3,2019-10-12,partly-cloudy-night,nan
27,16,11,2019-08-16,partly-cloudy-night,nan
482,197,285,2019-06-14,clear-day,nan
21,19,2,2019-02-28,clear-night,nan
1275,722,553,2019-11-06,clear-day,nan
2023,868,1155,2019-08-12,partly-cloudy-day,nan
0,0,0,2019-09-24,partly-cloudy-night,nan
0,0,0,2019-01-27,clear-night,nan
3,0,3,2019-12-08,clear-night,nan
1473,823,650,2019-06-11,clear-day,nan
0,0,0,2019-08-02,partly-cloudy-night,nan
20,14,6,2019-09-24,partly-cloudy-night,nan
1773,936,837,2019-08-20,partly-cloudy-day,nan
38,27,11,2019-10-18,partly-cloudy-night,nan
126,75,51,2019-04-19,partly-cloudy-night,nan
1757,771,986,2019-06-20,cloudy,nan
56,48,8,2019-09-14,cloudy,nan
160,81,79,2019-02-12,fog,nan
1329,619,710,2019-09-04,partly-cloudy-day,nan
1,0,1,2019-03-03,partly-cloudy-night,nan
13,11,2,2019-10-31,cloudy,Halloween
12,0,12,2019-12-16,rain,nan
4,1,3,2019-01-16,clear-night,nan
2,0,2,2019-08-01,clear-night,nan
535,219,316,2019-04-25,clear-day,nan
0,0,0,2019-02-27,cloudy,nan
1779,810,969,2019-07-21,partly-cloudy-day,nan
77,62,15,2019-01-06,partly-cloudy-night,nan
65,50,15,2019-10-05,partly-cloudy-night,nan
592,217,375,2019-09-22,partly-cloudy-night,nan
568,262,306,2019-05-01,cloudy,nan
1,0,1,2019-03-17,clear-night,St. Patrick's Day
1286,1286,0,2019-02-19,clear-day,nan
1439,622,817,2019-02-18,partly-cloudy-day,Presidents' Day (regional holiday)
3514,1854,1660,2019-04-06,clear-day,nan
0,0,0,2019-04-07,clear-night,nan
71,62,9,2019-11-25,clear-night,nan
1642,900,742,2019-07-10,partly-cloudy-day,nan
29,20,9,2019-05-08,cloudy,nan
139,66,73,2019-06-20,rain,nan
1683,981,702,2019-07-05,cloudy,nan
686,353,333,2019-05-20,partly-cloudy-day,nan
668,305,363,2019-02-01,partly-cloudy-day,nan
66,29,37,2019-06-16,partly-cloudy-night,nan
0,0,0,2019-09-02,partly-cloudy-night,Labor Day
8,3,5,2019-07-06,cloudy,nan
1641,749,892,2019-04-08,partly-cloudy-day,nan
0,0,0,2019-01-05,rain,nan
311,108,203,2019-04-08,cloudy,nan
665,273,392,2019-05-06,partly-cloudy-day,nan
5,0,5,2019-03-29,cloudy,nan
11,4,7,2019-07-21,partly-cloudy-night,nan
0,0,0,2019-08-22,partly-cloudy-night,nan
1189,439,750,2019-03-30,clear-day,nan
1694,847,847,2019-03-02,rain,nan
0,0,0,2019-11-24,rain,nan
2152,975,1177,2019-07-24,partly-cloudy-day,nan
1597,753,844,2019-03-26,clear-day,nan
5,3,2,2019-08-03,clear-night,nan
70,65,5,2019-12-06,cloudy,nan
0,0,0,2019-11-29,clear-night,Black Friday
0,0,0,2019-09-30,partly-cloudy-night,nan
132,48,84,2019-11-12,rain,nan
1895,889,1006,2019-09-03,partly-cloudy-day,nan
36,25,11,2019-03-10,partly-cloudy-night,Daylight Saving Time starts
1916,908,1008,2019-09-17,clear-day,nan
703,371,332,2019-04-26,cloudy,nan
180,92,88,2019-12-12,clear-night,nan
1000,524,476,2019-11-17,partly-cloudy-day,nan
284,106,178,2019-03-28,clear-day,nan
0,0,0,2019-08-08,partly-cloudy-night,nan
1299,583,716,2019-06-27,partly-cloudy-day,nan
2,1,1,2019-08-11,clear-night,nan
30,29,1,2019-12-27,clear-night,nan
260,102,158,2019-12-04,cloudy,nan
2352,1031,1321,2019-10-18,partly-cloudy-day,nan
2387,1005,1382,2019-06-02,partly-cloudy-day,nan
0,0,0,2019-11-07,partly-cloudy-night,nan
139,48,91,2019-06-19,cloudy,nan
1833,840,993,2019-03-15,partly-cloudy-day,nan
1954,890,1064,2019-05-22,clear-day,nan
0,0,0,2019-03-25,cloudy,nan
137,55,82,2019-04-05,partly-cloudy-day,nan
2056,887,1169,2019-09-30,cloudy,nan
1323,733,590,2019-06-13,cloudy,nan
2337,1043,1294,2019-06-23,clear-day,nan
8,4,4,2019-01-20,partly-cloudy-night,nan
0,0,0,2019-07-24,cloudy,nan
150,70,80,2019-06-08,clear-day,nan
0,0,0,2019-03-06,partly-cloudy-night,nan
2239,1073,1166,2019-10-07,partly-cloudy-day,nan
1,0,1,2019-02-16,partly-cloudy-night,nan
522,292,230,2019-01-15,clear-day,nan
1044,598,446,2019-06-02,partly-cloudy-day,nan
3,1,2,2019-07-17,partly-cloudy-night,nan
1877,885,992,2019-06-17,cloudy,nan
2,0,2,2019-03-14,partly-cloudy-night,nan
11,6,5,2019-09-05,partly-cloudy-night,nan
0,0,0,2019-10-05,clear-night,nan
1,0,1,2019-05-24,clear-night,nan
7,0,7,2019-05-12,cloudy,nan
1,0,1,2019-11-27,clear-night,nan
2,1,1,2019-12-05,partly-cloudy-night,nan
30,23,7,2019-12-21,partly-cloudy-night,nan
1600,702,898,2019-04-11,cloudy,nan
261,157,104,2019-04-30,partly-cloudy-night,nan
1958,856,1102,2019-02-21,rain,nan
2358,1006,1352,2019-11-16,clear-day,nan
69,42,27,2019-02-05,partly-cloudy-night,nan
3116,1370,1746,2019-08-10,partly-cloudy-day,nan
608,264,344,2019-09-19,clear-night,nan
263,120,143,2019-06-24,clear-day,nan
78,76,2,2019-02-07,cloudy,nan
1926,897,1029,2019-05-02,partly-cloudy-day,nan
1511,848,663,2019-06-28,partly-cloudy-day,nan
396,237,159,2019-12-14,partly-cloudy-day,nan
32,11,21,2019-05-25,partly-cloudy-night,nan
1,0,1,2019-06-04,clear-night,nan
5,4,1,2019-01-14,clear-night,nan
1,0,1,2019-01-27,clear-night,nan
2296,945,1351,2019-06-15,partly-cloudy-day,nan
3,0,3,2019-02-12,rain,nan
257,123,134,2019-01-11,clear-day,nan
1,0,1,2019-11-16,clear-night,nan
61,60,1,2019-10-23,clear-night,nan
1589,663,926,2019-08-13,rain,nan
59,54,5,2019-09-19,clear-night,nan
1,0,1,2019-12-12,clear-night,nan
3524,1647,1877,2019-04-13,clear-day,nan
3,2,1,2019-11-21,partly-cloudy-night,nan
1481,676,805,2019-05-22,clear-day,nan
900,524,376,2019-12-21,partly-cloudy-day,nan
0,0,0,2019-03-21,cloudy,nan
1,0,1,2019-02-07,cloudy,nan
1632,739,893,2019-03-18,cloudy,nan
28,12,16,2019-05-30,cloudy,nan
3335,1431,1904,2019-10-13,partly-cloudy-day,nan
0,0,0,2019-07-22,partly-cloudy-night,nan
2353,1099,1254,2019-10-25,partly-cloudy-day,nan
15,14,1,2019-02-24,partly-cloudy-night,nan
1,0,1,2019-06-10,cloudy,nan
2818,1218,1600,2019-06-09,partly-cloudy-day,nan
9,1,8,2019-09-25,clear-night,nan
1,0,1,2019-04-27,rain,nan
3157,1394,1763,2019-08-24,partly-cloudy-day,nan
2521,1174,1347,2019-08-25,partly-cloudy-day,nan
2,1,1,2019-04-19,partly-cloudy-night,nan
0,0,0,2019-09-21,clear-night,nan
959,416,543,2019-01-22,clear-day,nan
8,0,8,2019-11-29,clear-night,nan
1,0,1,2019-03-19,partly-cloudy-night,nan
0,0,0,2019-04-15,partly-cloudy-night,Tax Day
368,217,151,2019-09-29,partly-cloudy-day,nan
1,0,1,2019-04-12,cloudy,nan
311,196,115,2019-04-14,partly-cloudy-day,nan
881,548,333,2019-06-15,partly-cloudy-day,nan
354,138,216,2019-12-01,sleet,nan
0,0,0,2019-02-15,clear-night,nan
